ats,board_token,company_name,company_domain,hq_country,japan_hiring_evidence,source_url
greenhouse,paypay,PayPay,paypay.ne.jp,JP,"85 live jobs, Japanese titles, Tokyo",https://job-boards.greenhouse.io/paypay
greenhouse,paypaycard,PayPay Card,paypay-card.co.jp,JP,Backend engineer and PMO roles; Tokyo/Fukuoka hybrid,https://job-boards.greenhouse.io/paypaycard
greenhouse,paypaysec,PayPay Securities,paypay-sec.co.jp,JP,"iOS/Android engineer roles, Tokyo",https://job-boards.greenhouse.io/paypaysec
greenhouse,paidyinc,Paidy,paidy.com,JP,Board titled Paidy Inc / Paidy合同会社,https://job-boards.greenhouse.io/paidyinc
greenhouse,siei,Sony Interactive Entertainment,sie.com,JP,"All board jobs located Japan, Tokyo",https://job-boards.greenhouse.io/siei
greenhouse,pdi,Polyphony Digital,polyphony.co.jp,JP,"18 jobs Tokyo/Fukuoka, JP-language titles",https://job-boards.greenhouse.io/pdi
greenhouse,tangogameworks,Tango Gameworks,tangogameworks.com,JP,All 14 jobs Tokyo,https://job-boards.greenhouse.io/tangogameworks
greenhouse,pubgtokyo,PUBG Tokyo (KRAFTON),krafton.com,JP,PUBG JAPAN operations staff posting,https://job-boards.greenhouse.io/pubgtokyo
greenhouse,rakutenmedicaljpn,Rakuten Medical Japan,rakuten-med.com,JP,Board named Japan; Legal Manager (Japan),https://job-boards.greenhouse.io/rakutenmedicaljpn
greenhouse,moon,Moon Creative Lab,mooncreativelab.com,JP,"Roles at Chiyoda, Tokyo",https://job-boards.greenhouse.io/moon
greenhouse,zeals,Zeals,zeals.co.jp,JP,"SRE role, location Japan - Tokyo",https://job-boards.greenhouse.io/zeals
greenhouse,omakaseai,Omakase.ai,omakase.ai,JP,"Robotics SWE, Tokyo, Japanese preferred",https://job-boards.greenhouse.io/omakaseai
greenhouse,ogilvyjapan,Ogilvy Japan,ogilvy.co.jp,JP,"Dedicated Japan-office board, Tokyo roles",https://job-boards.greenhouse.io/ogilvyjapan
greenhouse,oktajp,Okta Japan,okta.com,JP,"All board jobs Tokyo; Director, Japan Sales",https://job-boards.greenhouse.io/oktajp
greenhouse,japan,Mirakl Japan,mirakl.com,JP,Board titled Jobs at Mirakl - Japan,https://job-boards.greenhouse.io/japan
greenhouse,startale,Startale,startale.com,JP,"Director of Sales, Startale Japan",https://job-boards.greenhouse.io/startale
greenhouse,gitai,GITAI,gitai.tech,US,Japan-founded space robotics company,https://job-boards.greenhouse.io/gitai
greenhouse,mercari,Mercari (US entity),mercari.com,JP,Group board; JP hiring is in-house,https://job-boards.greenhouse.io/mercari
greenhouse,alpaca,Alpaca,alpaca.markets,US,"Broker-Dealer Ops Specialist, Japan-based",https://job-boards.greenhouse.io/alpaca
greenhouse,figma,Figma,figma.com,US,"12+ roles titled (Tokyo, Japan)",https://job-boards.greenhouse.io/figma
greenhouse,coupang,Coupang,coupang.com,KR,"10+ Tokyo, Japan roles",https://job-boards.greenhouse.io/coupang
greenhouse,anthropic,Anthropic,anthropic.com,US,"Enterprise AE Japan; Head of Partnerships, Japan (Tokyo)",https://job-boards.greenhouse.io/anthropic
greenhouse,grafanalabs,Grafana Labs,grafana.com,US,"Senior Solutions Engineer Tokyo, Japan with a JPY band",https://job-boards.greenhouse.io/grafanalabs
greenhouse,glance,Glance,glance.com,IN,"Multiple Tokyo, Japan commerce/growth roles",https://job-boards.greenhouse.io/glance
greenhouse,databricks,Databricks,databricks.com,US,12+ Tokyo roles,https://job-boards.greenhouse.io/databricks
greenhouse,datadog,Datadog,datadoghq.com,US,Country Manager and AE/SE roles in Tokyo,https://job-boards.greenhouse.io/datadog
greenhouse,cloudflare,Cloudflare,cloudflare.com,US,"Senior Sales Manager, Japan (based in Tokyo)",https://job-boards.greenhouse.io/cloudflare
greenhouse,zscaler,Zscaler,zscaler.com,US,"16 Japan roles, Tokyo and Remote-Osaka",https://job-boards.greenhouse.io/zscaler
greenhouse,tanium,Tanium,tanium.com,US,8 roles across Tokyo/Osaka/Nagoya,https://job-boards.greenhouse.io/tanium
greenhouse,newrelic,New Relic,newrelic.com,US,"7 Tokyo roles including Country Manager, Japan",https://job-boards.greenhouse.io/newrelic
greenhouse,okta,Okta,okta.com,US,"Director, Sales Development, Japan - Tokyo",https://job-boards.greenhouse.io/okta
greenhouse,verkada,Verkada,verkada.com,US,Account Executive roles in Osaka and Tokyo,https://job-boards.greenhouse.io/verkada
greenhouse,asana,Asana,asana.com,US,"Corporate AE, CSM and People Partner APJ in Tokyo",https://job-boards.greenhouse.io/asana
greenhouse,gitlab,GitLab,about.gitlab.com,US,"Commercial AE Japan; Senior Ecosystem Sales Manager, Japan",https://job-boards.greenhouse.io/gitlab
greenhouse,elastic,Elastic,elastic.co,NL,Inside Account Executive Japan - Tokyo,https://job-boards.greenhouse.io/elastic
greenhouse,dropbox,Dropbox,dropbox.com,US,BDR Japan (Remote); Technical Solutions Specialist (Japan),https://job-boards.greenhouse.io/dropbox
greenhouse,braze,Braze,braze.com,US,AE Commercial/Enterprise Tokyo; Recruiter APAC and Japan,https://job-boards.greenhouse.io/braze
greenhouse,rubrik,Rubrik,rubrik.com,US,Mid Market AE Tokyo; Senior CSE Tokyo,https://job-boards.greenhouse.io/rubrik
greenhouse,purestorage,Pure Storage,purestorage.com,US,AE Emerging Japan; Sales Enablement BP Tokyo,https://job-boards.greenhouse.io/purestorage
