ats,board_token,company_name,company_domain,hq_country,japan_hiring_evidence,source_url,checked_on
greenhouse,2k,2K Games,2k.com,US,"3 Japan-located posting(s) on the public greenhouse board, e.g. ""Tokyo, Chiyoda, Japan""",https://job-boards.greenhouse.io/2k,2026-09-21
greenhouse,acquia,Acquia,acquia.com,US,"1 Japan-located posting(s) on the public greenhouse board, e.g. ""Remote - Japan""",https://job-boards.greenhouse.io/acquia,2026-09-21
greenhouse,agoda,Agoda,agoda.com,SG,"26 Japan-located posting(s) on the public greenhouse board, e.g. ""Tokyo, Japan""",https://job-boards.greenhouse.io/agoda,2026-09-21
greenhouse,alpaca,Alpaca,alpaca.markets,US,"3 Japan-located posting(s) on the public greenhouse board, e.g. ""Remote - Japan""",https://job-boards.greenhouse.io/alpaca,2026-09-21
greenhouse,andurilindustries,Anduril Industries,anduril.com,US,"4 Japan-located posting(s) on the public greenhouse board, e.g. ""Tokyo, Japan""",https://job-boards.greenhouse.io/andurilindustries,2026-09-21
greenhouse,anthropic,Anthropic,anthropic.com,US,"14 Japan-located posting(s) on the public greenhouse board, e.g. ""Tokyo, Japan""",https://job-boards.greenhouse.io/anthropic,2026-09-21
greenhouse,appier,Appier,appier.com,TW,"21 Japan-located posting(s) on the public greenhouse board, e.g. ""Tokyo, Japan""",https://job-boards.greenhouse.io/appier,2026-09-21
greenhouse,appsflyer,AppsFlyer,appsflyer.com,IL,"2 Japan-located posting(s) on the public greenhouse board, e.g. ""Tokyo""",https://job-boards.greenhouse.io/appsflyer,2026-09-21
greenhouse,asana,Asana,asana.com,US,"4 Japan-located posting(s) on the public greenhouse board, e.g. ""Tokyo""",https://job-boards.greenhouse.io/asana,2026-09-21
greenhouse,axs,AXS,axs.com,US,"1 Japan-located posting(s) on the public greenhouse board, e.g. ""Tokyo, Japan""",https://job-boards.greenhouse.io/axs,2026-09-21
greenhouse,behavox,Behavox,behavox.com,US,"1 Japan-located posting(s) on the public greenhouse board, e.g. ""Tokyo, Japan""",https://job-boards.greenhouse.io/behavox,2026-09-21
greenhouse,braze,Braze,braze.com,US,"9 Japan-located posting(s) on the public greenhouse board, e.g. ""Tokyo""",https://job-boards.greenhouse.io/braze,2026-09-21
greenhouse,canonical,Canonical,canonical.com,GB,"1 Japan-located posting(s) on the public greenhouse board, e.g. ""Office Based - Tokyo, Japan""",https://job-boards.greenhouse.io/canonical,2026-09-21
greenhouse,celonis,Celonis,celonis.com,DE,"6 Japan-located posting(s) on the public greenhouse board, e.g. ""Tokyo, Japan""",https://job-boards.greenhouse.io/celonis,2026-09-21
greenhouse,cloudflare,Cloudflare,cloudflare.com,US,"1 Japan-located posting(s) on the public greenhouse board, e.g. ""Tokyo, Japan""",https://job-boards.greenhouse.io/cloudflare,2026-09-21
greenhouse,cognite,Cognite,cognite.com,NO,"2 Japan-located posting(s) on the public greenhouse board, e.g. ""Japan (Tokyo)""",https://job-boards.greenhouse.io/cognite,2026-09-21
greenhouse,coupang,Coupang,coupang.com,KR,"33 Japan-located posting(s) on the public greenhouse board, e.g. ""Tokyo, Japan""",https://job-boards.greenhouse.io/coupang,2026-09-21
greenhouse,crunchyroll,Crunchyroll,crunchyroll.com,US,"4 Japan-located posting(s) on the public greenhouse board, e.g. ""Tokyo, Japan""",https://job-boards.greenhouse.io/crunchyroll,2026-09-21
greenhouse,cybereason,Cybereason,cybereason.com,US,"5 Japan-located posting(s) on the public greenhouse board, e.g. ""Tokyo""",https://job-boards.greenhouse.io/cybereason,2026-09-21
greenhouse,databricks,Databricks,databricks.com,US,"34 Japan-located posting(s) on the public greenhouse board, e.g. ""Tokyo, Japan""",https://job-boards.greenhouse.io/databricks,2026-09-21
greenhouse,datadog,Datadog,datadoghq.com,US,"47 Japan-located posting(s) on the public greenhouse board, e.g. ""Tokyo, Japan""",https://job-boards.greenhouse.io/datadog,2026-09-21
greenhouse,dataiku,Dataiku,dataiku.com,FR,"3 Japan-located posting(s) on the public greenhouse board, e.g. ""Japan, Tokyo""",https://job-boards.greenhouse.io/dataiku,2026-09-21
greenhouse,dialpad,Dialpad,dialpad.com,US,"5 Japan-located posting(s) on the public greenhouse board, e.g. ""Tokyo, Japan""",https://job-boards.greenhouse.io/dialpad,2026-09-21
greenhouse,dropbox,Dropbox,dropbox.com,US,"3 Japan-located posting(s) on the public greenhouse board, e.g. ""Remote - Japan""",https://job-boards.greenhouse.io/dropbox,2026-09-21
greenhouse,duolingo,Duolingo,duolingo.com,US,"2 Japan-located posting(s) on the public greenhouse board, e.g. ""Tokyo, Japan""",https://job-boards.greenhouse.io/duolingo,2026-09-21
greenhouse,elastic,Elastic,elastic.co,NL,"3 Japan-located posting(s) on the public greenhouse board, e.g. ""Tokyo, Japan""",https://job-boards.greenhouse.io/elastic,2026-09-21
greenhouse,figma,Figma,figma.com,US,"8 Japan-located posting(s) on the public greenhouse board, e.g. ""Tokyo, Japan""",https://job-boards.greenhouse.io/figma,2026-09-21
greenhouse,fireblocks,Fireblocks,fireblocks.com,US,"3 Japan-located posting(s) on the public greenhouse board, e.g. ""Tokyo Prefecture, Japan""",https://job-boards.greenhouse.io/fireblocks,2026-09-21
greenhouse,fivetran,Fivetran,fivetran.com,US,"3 Japan-located posting(s) on the public greenhouse board, e.g. ""Remote, Japan, APAC""",https://job-boards.greenhouse.io/fivetran,2026-09-21
greenhouse,flexport,Flexport,flexport.com,US,"3 Japan-located posting(s) on the public greenhouse board, e.g. ""Tokyo, Japan""",https://job-boards.greenhouse.io/flexport,2026-09-21
greenhouse,fusionworldwide,Fusion Worldwide,fusionww.com,US,"3 Japan-located posting(s) on the public greenhouse board, e.g. ""Tokyo, Japan""",https://job-boards.greenhouse.io/fusionworldwide,2026-09-21
greenhouse,gitlab,GitLab,about.gitlab.com,US,"4 Japan-located posting(s) on the public greenhouse board, e.g. ""Remote, Japan; Remote, Philippines; Remote, Singapore""",https://job-boards.greenhouse.io/gitlab,2026-09-21
greenhouse,glance,Glance,glance.com,IN,"12 Japan-located posting(s) on the public greenhouse board, e.g. ""Tokyo""",https://job-boards.greenhouse.io/glance,2026-09-21
greenhouse,gleanwork,Glean,glean.com,US,"3 Japan-located posting(s) on the public greenhouse board, e.g. ""Japan""",https://job-boards.greenhouse.io/gleanwork,2026-09-21
greenhouse,grafanalabs,Grafana Labs,grafana.com,US,"2 Japan-located posting(s) on the public greenhouse board, e.g. ""Japan (Remote)""",https://job-boards.greenhouse.io/grafanalabs,2026-09-21
greenhouse,guidepoint,Guidepoint,guidepoint.com,US,"8 Japan-located posting(s) on the public greenhouse board, e.g. ""東京都, Japan""",https://job-boards.greenhouse.io/guidepoint,2026-09-21
greenhouse,hasbro,Hasbro,hasbro.com,US,"2 Japan-located posting(s) on the public greenhouse board, e.g. ""Japan""",https://job-boards.greenhouse.io/hasbro,2026-09-21
greenhouse,headoutlinkedin,Headout,headout.com,US,"1 Japan-located posting(s) on the public greenhouse board, e.g. ""Tokyo, Osaka""",https://job-boards.greenhouse.io/headoutlinkedin,2026-09-21
greenhouse,hudl,Hudl,hudl.com,US,"1 Japan-located posting(s) on the public greenhouse board, e.g. ""Tokyo, Japan""",https://job-boards.greenhouse.io/hudl,2026-09-21
greenhouse,japan,Mirakl Japan,mirakl.com,JP,"3 Japan-located posting(s) on the public greenhouse board, e.g. ""Japan""",https://job-boards.greenhouse.io/japan,2026-09-21
greenhouse,jfrog,JFrog,jfrog.com,IL,"1 Japan-located posting(s) on the public greenhouse board, e.g. ""Tokyo, Japan""",https://job-boards.greenhouse.io/jfrog,2026-09-21
greenhouse,knowbe4,KnowBe4,knowbe4.com,US,"5 Japan-located posting(s) on the public greenhouse board, e.g. ""Tokyo, Japan""",https://job-boards.greenhouse.io/knowbe4,2026-09-21
greenhouse,lazarusenterprises,Lazarus,lazarusai.com,US,"1 Japan-located posting(s) on the public greenhouse board, e.g. ""Tokyo Prefecture, Japan""",https://job-boards.greenhouse.io/lazarusenterprises,2026-09-21
greenhouse,lighthouse,Lighthouse,mylighthouse.com,GB,"3 Japan-located posting(s) on the public greenhouse board, e.g. ""Japan""",https://job-boards.greenhouse.io/lighthouse,2026-09-21
greenhouse,mesh,Mesh,meshconnect.com,US,"2 Japan-located posting(s) on the public greenhouse board, e.g. ""Tokyo, Japan""",https://job-boards.greenhouse.io/mesh,2026-09-21
greenhouse,midpointmarkets,Midpoint Markets,midpointmarkets.com,US,"2 Japan-located posting(s) on the public greenhouse board, e.g. ""San Francisco, Japan, Australia, New Zealand, South Korea, Singapore, UAE, Israel, EU""",https://job-boards.greenhouse.io/midpointmarkets,2026-09-21
greenhouse,moloco,Moloco,moloco.com,US,"1 Japan-located posting(s) on the public greenhouse board, e.g. ""Tokyo, Japan""",https://job-boards.greenhouse.io/moloco,2026-09-21
greenhouse,mongodb,MongoDB,mongodb.com,US,"6 Japan-located posting(s) on the public greenhouse board, e.g. ""Japan""",https://job-boards.greenhouse.io/mongodb,2026-09-21
greenhouse,monsterenergyapac,Monster Energy APAC,monsterenergy.com,US,"4 Japan-located posting(s) on the public greenhouse board, e.g. ""JPN - Tokyo""",https://job-boards.greenhouse.io/monsterenergyapac,2026-09-21
