"bet","source","url","owner","terms_url","license","robots_ok","reuse_allowed","checked_on"
"A","官公需情報ポータルサイト (KKJ portal, HTML search)","https://www.kkj.go.jp/","中小企業庁 (SME Agency)","https://www.kkj.go.jp/info/ja/terms","unclear","N","unclear","2026-09-21"
"A","官公需情報ポータルサイト検索API (e-Gov API catalog entry)","https://api-catalog.e-gov.go.jp/","中小企業庁 / e-Gov (デジタル庁)","https://www.e-gov.go.jp/digital-government/api/kkj.html","unclear","N","unclear","2026-09-21"
"A","調達ポータル 落札実績オープンデータ (GEPS award open data)","https://www.p-portal.go.jp/pps-web-biz/UAB02/OAB0201","デジタル庁 (Digital Agency)","https://www.p-portal.go.jp/pps-web-biz/resources/app/html/sitepolicy.html","政府標準利用規約(第2.0版)","no-robots-file","Y","2026-09-21"
"A","調達ポータル 調達情報の検索 (GEPS tender search)","https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101","デジタル庁 (Digital Agency)","https://www.p-portal.go.jp/pps-web-biz/resources/app/html/sitepolicy.html","政府標準利用規約(第2.0版)","no-robots-file","Y","2026-09-21"
"B","Greenhouse Job Board API","https://boards-api.greenhouse.io/v1/boards/{board_token}/jobs","Greenhouse Software, Inc.","https://docs.greenhouse.io/job-board.html ; https://www.greenhouse.com/legal","no-licence-granted","Y","Y","2026-09-22"
"B","Greenhouse hosted job board pages","https://job-boards.greenhouse.io/{board_token}","Greenhouse Software, Inc.","https://www.greenhouse.com/legal","no-licence-granted","Y","Y - discovery only","2026-09-22"
"B","Lever Postings API","https://api.lever.co/v0/postings/{site}?mode=json","Lever (Employ Inc.)","https://www.lever.co/legal/ ; https://www.lever.co/legal/terms-of-service","no-licence-granted","Y","Y","2026-09-22"
"B","Ashby Public Job Posting API","https://api.ashbyhq.com/","Ashby, Inc.","https://developers.ashbyhq.com/docs/public-job-posting-api ; https://www.ashbyhq.com/terms","no-licence-granted","conflicting","unclear","2026-09-22"
"B","Workable public job board widget API","https://apply.workable.com/","Workable Software Ltd.","https://www.workable.com/terms","no-licence-granted","Y","unclear","2026-09-21"
"B","SmartRecruiters Posting API","https://api.smartrecruiters.com/","SmartRecruiters, Inc.","https://developers.smartrecruiters.com/docs/posting-api ; https://www.smartrecruiters.com/legal/","no-licence-granted","N","N","2026-09-21"
"C","国税庁 法人番号公表サイト 差分データ (NTA corporate number daily diff)","https://www.houjin-bangou.nta.go.jp/download/sabun/index.html","国税庁 (National Tax Agency)","https://www.houjin-bangou.nta.go.jp/riyokiyaku/index.html","公共データ利用規約(第1.0版)","no-robots-file","Y","2026-09-21"
"C","国税庁 法人番号公表サイト 全件データ (NTA full dump)","https://www.houjin-bangou.nta.go.jp/download/zenken/index.html","国税庁 (National Tax Agency)","https://www.houjin-bangou.nta.go.jp/riyokiyaku/index.html","公共データ利用規約(第1.0版)","no-robots-file","Y","2026-09-21"
"C","国税庁 法人番号システム Web-API","https://www.houjin-bangou.nta.go.jp/webapi/","国税庁 (National Tax Agency)","https://www.houjin-bangou.nta.go.jp/pc/webapi/riyokiyaku.html","公共データ利用規約(第1.0版)","no-robots-file","Y","2026-09-21"
"A","東京都 入札情報サービス / 電子調達システム (Tokyo Metropolitan Government)","https://www.e-procurement.metro.tokyo.lg.jp/","東京都 財務局","https://www.metro.tokyo.lg.jp/policy/chosakuken","custom-terms","N","N","2026-09-21"
"A","大阪府 電子調達システム 入札結果 (Osaka Prefecture)","https://www.e-nyusatsu.pref.osaka.jp/","大阪府","https://www.pref.osaka.lg.jp/o070050/koho/information/use.html","custom-terms","Y","N","2026-09-21"
"A","神奈川県 かながわ電子入札共同システム 入札情報サービス (Kanagawa Prefecture)","https://ebid-joho.e-kanagawa.lg.jp/","神奈川県 (shared platform with 31 municipalities)","https://www.pref.kanagawa.jp/master/sitepolicy.html","custom-terms","Y","unclear","2026-09-21"
"A","愛知県 あいち電子調達共同システム 入札情報サービス (Aichi Prefecture)","https://www.buppin.e-aichi.jp/ ; https://www.chotatsu.e-aichi.jp/","愛知県 (joint system with ~51 municipalities)","https://www.pref.aichi.jp/site/userguide/menseki.html","unverified","not-retrievable","unclear","2026-09-21"
"A","福岡県 落札者の公示 (物品・役務) / 建設工事入札結果一覧 (Fukuoka Prefecture)","https://www.pref.fukuoka.lg.jp/","福岡県","https://www.pref.fukuoka.lg.jp/contents/this-site-mensekietc.html","custom-terms","Y","unclear","2026-09-21"
"A","北海道 入札結果カテゴリ / 電子調達システム e-HARP (Hokkaido)","https://www.pref.hokkaido.lg.jp/category/d003/c006/s013/","北海道","https://www.pref.hokkaido.lg.jp/site-info/sitepolicy.html","CC BY 4.0","Y","Y","2026-09-21"
"A","横浜市 ヨコハマ・入札のとびら 入札・契約結果 (City of Yokohama)","https://keiyaku.city.yokohama.lg.jp/","横浜市","https://www.city.yokohama.lg.jp/aboutweb/sitepolicy.html","custom-terms","Y","unclear","2026-09-21"
"A","名古屋市 電子調達システム 調達情報サービス (City of Nagoya)","https://www.chotatsu.city.nagoya.jp/ejpkg/EjPPIj ; https://www.city.nagoya.jp/jigyou/nyusatsu/1014157/1044931.html","名古屋市","https://www.city.nagoya.jp/somu/page/0000056954.html","CC BY 4.0","mixed","Y","2026-09-21"
"A","札幌市 入札等結果一覧 (City of Sapporo)","https://www.city.sapporo.jp/","札幌市 財政局契約管理課","https://www.city.sapporo.jp/city/copyright/link.html","custom-terms","Y","N","2026-09-21"
"A","京都市 入札情報館 入札執行結果 (City of Kyoto)","http://www2.nyusatsu.city.kyoto.lg.jp/ ; https://www2.city.kyoto.lg.jp/","京都市 行財政局","https://www.city.kyoto.lg.jp/main/site_policy/0000000005.html","custom-terms","Y","N","2026-09-21"
"A","神戸市 入札結果 (Kobe City)","https://nyusatsukekka.city.kobe.lg.jp/searchk.php","神戸市 行財政局契約監理課","https://www.city.kobe.lg.jp/a57337/homepage/rule.html","政府標準利用規約(第2.0版)","Y","Y","2026-09-21"
"A","福岡市 入札結果 (Fukuoka City)","https://keiyaku.city.fukuoka.lg.jp/","福岡市 財政局財政部契約課","https://www.city.fukuoka.lg.jp/sub/tyosakuken.html","custom-terms","partial","N","2026-09-21"
"A","川崎市 入札情報かわさき 落札結果 (Kawasaki City)","https://www.city.kawasaki.jp/","川崎市 財政局契約課","https://www.city.kawasaki.jp/main/site_policy/0000000027.html","custom-terms","Y","N","2026-09-21"
"A","さいたま市 入札結果・契約結果情報 (Saitama City)","https://www.city.saitama.lg.jp/","さいたま市 財政局契約管理部","https://www.city.saitama.lg.jp/006/014/007/p032557.html","custom-terms","no-robots-file","N","2026-09-21"
"A","広島市 調達情報公開システム (Hiroshima City)","https://ppi.keiyaku.city.hiroshima.lg.jp/","広島市","https://www.city.hiroshima.lg.jp/about/1010662.html","custom-terms","Y","N","2026-09-21"
"A","仙台市 開札結果 (Sendai City)","https://www.city.sendai.jp/","仙台市 財政局契約課 / 工事契約課","https://www.city.sendai.jp/sesakukoho/chosakuken/index.html","custom-terms","no-robots-file","N","2026-09-21"
"A","千葉市 入札（見積）結果の公表 (Chiba City)","https://www.city.chiba.jp/","千葉市 財政局資産経営部契約課","https://www.city.chiba.jp/front/link_copyright.html","custom-terms","Y","N","2026-09-21"
