file_date,file_no,raw_sha256,raw_bytes,records_raw,records,retrieved_at
2026-07-24,27642,d094ec81c1b8a91f3b33bba6f4eb8b548c94c6eeba884176792ec9f52fd38787,139299,2206,2206,2026-09-21T14:05:58Z
2026-07-27,27645,76e2ebc9dc701f4e4a2da2c01388522c818a129aeb31e0ca47a2d2cf4410b365,145801,2346,2346,2026-09-21T14:06:00Z
2026-07-28,27648,1f6d9a44b85794ac8c19a09c92639f90f2c7c651dcc761b9e00bf353fde4e2c8,139771,2184,2184,2026-09-21T14:06:02Z
2026-07-29,27651,3a31f01c5ac6a9af879d5a8d81cf5bf1a06a2af1df34ea6edb23c762664b06d5,136658,2154,2153,2026-09-21T14:06:05Z
2026-07-30,27654,9e7f8a3be95adde417a8af3d457d9b25a6047c8b511170e9263615ef045c4a73,135330,2167,2167,2026-09-21T14:06:07Z
2026-07-31,27657,8f0a82c5e8f2c776c0930e78792a9ba36fd791e05703eb76b182590fe67c19c6,131993,2069,2069,2026-09-21T14:06:09Z
2026-08-03,27827,c37a86ab88508d7e779184c0f8ad4e96303fc466d78d5a3b7262079a71a6c541,144479,2307,2306,2026-09-21T14:06:11Z
2026-08-04,27830,1fca0cb88eac1908fd3938dacfc2db428e9610ce36d774ce4a44b861ae10ce7b,129839,2062,2062,2026-09-21T14:06:13Z
2026-08-05,27833,f4588bedb6475ed07c085dc40708669c718e6880b9e06c05cfd69baf85bdcbe5,166202,2640,2640,2026-09-21T14:06:15Z
2026-08-06,27836,4468c7dd8f90b1aaa6bbbd20a02dd2c84ac8815645e30b80122a410558cc26ca,149472,2399,2399,2026-09-21T14:06:17Z
2026-08-07,27839,0cb9e43a607be48f14b20035efdd4c8213d5fda6dc8a6ff8793e65b706046837,168086,2667,2667,2026-09-21T14:06:19Z
2026-08-10,27842,c174fd5ff32dba374f887f2e6ede5cb3d06d52b14cb2726bb33feb2fe58dcfb6,147725,2375,2375,2026-09-21T14:06:21Z
2026-08-12,27845,850892a16e8f74108403cb9bcd74f9e57178ece67d627f8663abf8e50d52ad26,160201,2541,2541,2026-09-21T14:06:23Z
2026-08-13,27848,b017ee2373c9d0c0213d01c1555478b2e418a72532b352c1b2db42a1a180155d,138587,2173,2173,2026-09-21T14:06:25Z
2026-08-14,27851,9951082ba15590c82ec02454401e091ba2fb4a2054e94d594c590417b51159ed,145935,2303,2303,2026-09-21T14:06:27Z
2026-08-17,27854,d5d4423a145ac7e2afedd5f43529c54946a3c1d7e10f6d6e4a7abc51fa859f66,133230,2153,2153,2026-09-21T14:06:29Z
2026-08-18,27857,36eda2e0e3a0fec05c2707f46742e2a2969db9384871c2a712d87a94e63a05fe,144614,2299,2298,2026-09-21T14:06:31Z
2026-08-19,27860,24e40f36c2ffd04a4de7acddaed94c769213bd84556f77505498e9680d91818e,140108,2254,2254,2026-09-21T14:06:34Z
2026-08-20,27863,a9f2f3438a31404aef0e2ebcd1833d343375112334584bd7f8b3c781030e19ca,124072,1991,1991,2026-09-21T14:06:36Z
2026-08-21,27866,f2bcca1fe67e91511809454b723bb2dcbc4d62608afb7ddc1d411b96035b807f,136197,2181,2181,2026-09-21T14:06:38Z
2026-08-24,27869,4ad1f03ed59aa8f93d177b245ba229733d43bc419e3bf44b7fdd638a6c957e81,128049,2050,2050,2026-09-21T14:06:40Z
2026-08-25,27872,a2e91ebb24a25b20aeb3b864a330d2d352fd5b625d5c84c3d6b892506c015d3d,137688,2222,2222,2026-09-21T14:06:42Z
2026-08-26,27875,d30517d2513065b772b696c63879620b9bc8cc1ab8cfff38e2f10ad12ec836cc,141770,2257,2257,2026-09-21T14:06:45Z
2026-08-27,27878,2db48ff4ebae5f50d3b0833888df84b1961d56b88da17a804e60d8ca1bdae5e3,139469,2263,2263,2026-09-21T14:06:48Z
2026-08-28,27881,a684cd21f1d44468d3c3ceaf0e88879d107c79d8e64d158d5c789485c18d9576,142202,2267,2267,2026-09-21T14:06:51Z
2026-08-31,27884,c844f71f2f333e40dd1e807d2ea19c9b392838e795add6c93e2e0f385b994951,124909,1937,1937,2026-09-21T14:06:54Z
2026-09-01,28054,54eb0d1af2fe3b2e7b56efae4608a058eeecc4b1b8c8c38df5ee9bf4a4dd8f73,141251,2216,2216,2026-09-21T14:06:57Z
2026-09-02,28057,ff6b3d4c13aeaa9cc1fbb41e4e19d9fd85dc0a1c34bc5fd0323188a37cee70cc,131410,2079,2079,2026-09-21T14:06:59Z
2026-09-03,28060,c426dc276337b1a5755f81170049e19b14870350b3c2c60236be4cb2c0f2145f,141639,2287,2287,2026-09-21T14:07:01Z
2026-09-04,28063,d007207d6937024430a75ff4f7ea04b2cf45ebf608bcce709bc045dcc581a873,150861,2431,2431,2026-09-21T14:07:03Z
2026-09-07,28066,8678afb95ecef2eaf389bdf052c7bb66bf1db574635898ca197a58896e0bd020,158903,2532,2532,2026-09-21T14:07:05Z
2026-09-08,28069,5d3453284ab29ef4b90fbfe4e65dfe1225bff785f00e95bb436f99567631394c,163965,2599,2599,2026-09-21T14:07:07Z
2026-09-09,28072,324d596b449448bfff0e0a7e785a28891bb4b2082894a351043b865e8e8b816d,143648,2242,2242,2026-09-21T14:07:09Z
2026-09-10,28075,c9c35224184bdb8b335d1fe3ba9d6ee74ddd4c87e735332d27540fd4c4acf239,134210,2104,2104,2026-09-21T14:07:11Z
2026-09-11,28078,da092bfe9ff32e944db2d5e919a60a59ecd535a24e29a5133e25db7b2d357477,135265,2168,2168,2026-09-21T14:07:13Z
2026-09-14,28081,b815c6c61211aba995bc5fedb635afcf5ac4463833aa30bf8443456da8189938,130625,2111,2111,2026-09-21T14:07:15Z
2026-09-15,28084,fbe07b0b00459029aed4a48670619f16075617c821b3ba40fc025af5e0aa5641,141466,2230,2230,2026-09-21T14:07:17Z
2026-09-16,28087,1ff32184aaee737383f286ae3fb40702248f7ea5f889ad778dded684ec6fb0fb,140302,2273,2273,2026-09-21T14:07:19Z
2026-09-17,28090,2a9661ed2e9256d26ed5af80957b2b61a545944452bb6cd87c5f949da0a170dc,125517,2036,2036,2026-09-21T14:07:22Z
