fiscal_year,prefecture,prefecture_code,prefecture_basis,category_axis,sector,n_awards,n_corporate,n_masked_individual,n_awards_suppressed_in_group,records_parsed,records_normalized,retrieved_at,amount_min_jpy,amount_q1_jpy,amount_median_jpy,amount_q3_jpy,amount_max_jpy,amount_sum_jpy,award_ratio_median,award_ratio_q1,award_ratio_q3,award_ratio_coverage,source_id,license,attribution
2013,熊本県,43,winner_registered_nta,府省由来セクター（業種は原データに存在しない）,総務・情報通信,1,1,0,0,313607,313568,2026-09-21T14:28:16Z,1656500,1656500,1656500,1656500,1656500,1656500,,,,0,pportal_awards,政府標準利用規約(第2.0版); site states CC BY 4.0 compatible; attribution '出典：調達ポータル (https://www.p-portal.go.jp/)' required,出典：調達ポータル（https://www.p-portal.go.jp/）
2014,兵庫県,28,winner_registered_nta,府省由来セクター（業種は原データに存在しない）,内閣・内政,2,2,0,1,313607,313568,2026-09-21T14:28:16Z,2189900,4012425,5834950,7657475,9480000,11669900,,,,0,pportal_awards,政府標準利用規約(第2.0版); site states CC BY 4.0 compatible; attribution '出典：調達ポータル (https://www.p-portal.go.jp/)' required,出典：調達ポータル（https://www.p-portal.go.jp/）
2014,北海道,01,winner_registered_nta,府省由来セクター（業種は原データに存在しない）,内閣・内政,3,3,0,1,313607,313568,2026-09-21T14:28:16Z,2300000,5775500,9251000,15125500,21000000,32551000,,,,0,pportal_awards,政府標準利用規約(第2.0版); site states CC BY 4.0 compatible; attribution '出典：調達ポータル (https://www.p-portal.go.jp/)' required,出典：調達ポータル（https://www.p-portal.go.jp/）
2014,千葉県,12,winner_registered_nta,府省由来セクター（業種は原データに存在しない）,内閣・内政,4,4,0,1,313607,313568,2026-09-21T14:28:16Z,2025600,3186488,3681725,4147500,5220000,14609050,,,,0,pportal_awards,政府標準利用規約(第2.0版); site states CC BY 4.0 compatible; attribution '出典：調達ポータル (https://www.p-portal.go.jp/)' required,出典：調達ポータル（https://www.p-portal.go.jp/）
2014,埼玉県,11,winner_registered_nta,府省由来セクター（業種は原データに存在しない）,内閣・内政,3,3,0,1,313607,313568,2026-09-21T14:28:16Z,1440000,1618955,1797910,2650705,3503500,6741410,,,,0,pportal_awards,政府標準利用規約(第2.0版); site states CC BY 4.0 compatible; attribution '出典：調達ポータル (https://www.p-portal.go.jp/)' required,出典：調達ポータル（https://www.p-portal.go.jp/）
2014,大阪府,27,winner_registered_nta,府省由来セクター（業種は原データに存在しない）,内閣・内政,11,11,0,1,313607,313568,2026-09-21T14:28:16Z,1450000,2380150,3387500,19875000,40890000,136511311,,,,0,pportal_awards,政府標準利用規約(第2.0版); site states CC BY 4.0 compatible; attribution '出典：調達ポータル (https://www.p-portal.go.jp/)' required,出典：調達ポータル（https://www.p-portal.go.jp/）
2014,宮城県,04,winner_registered_nta,府省由来セクター（業種は原データに存在しない）,内閣・内政,2,2,0,1,313607,313568,2026-09-21T14:28:16Z,1970000,2226986,2483972,2740958,2997944,4967944,,,,0,pportal_awards,政府標準利用規約(第2.0版); site states CC BY 4.0 compatible; attribution '出典：調達ポータル (https://www.p-portal.go.jp/)' required,出典：調達ポータル（https://www.p-portal.go.jp/）
2014,岩手県,03,winner_registered_nta,府省由来セクター（業種は原データに存在しない）,内閣・内政,1,1,0,1,313607,313568,2026-09-21T14:28:16Z,2750000,2750000,2750000,2750000,2750000,2750000,,,,0,pportal_awards,政府標準利用規約(第2.0版); site states CC BY 4.0 compatible; attribution '出典：調達ポータル (https://www.p-portal.go.jp/)' required,出典：調達ポータル（https://www.p-portal.go.jp/）
2014,広島県,34,winner_registered_nta,府省由来セクター（業種は原データに存在しない）,内閣・内政,1,1,0,1,313607,313568,2026-09-21T14:28:16Z,1752000,1752000,1752000,1752000,1752000,1752000,,,,0,pportal_awards,政府標準利用規約(第2.0版); site states CC BY 4.0 compatible; attribution '出典：調達ポータル (https://www.p-portal.go.jp/)' required,出典：調達ポータル（https://www.p-portal.go.jp/）
2014,愛知県,23,winner_registered_nta,府省由来セクター（業種は原データに存在しない）,内閣・内政,7,7,0,1,313607,313568,2026-09-21T14:28:16Z,1000000,2367500,3821950,5770850,41000000,62098650,,,,0,pportal_awards,政府標準利用規約(第2.0版); site states CC BY 4.0 compatible; attribution '出典：調達ポータル (https://www.p-portal.go.jp/)' required,出典：調達ポータル（https://www.p-portal.go.jp/）
